label,method,round,aggregation_error
spreadA,flora,31,0.13785460895486737
spreadA,rblora,32,2.1278077377872786
spreadA,flora,32,0.13783388094790908
spreadA,rblora,33,2.127643983373464
spreadA,flora,33,0.13779111580766082
spreadA,rblora,34,2.126552649760956
spreadA,flora,34,0.13770026980461358
spreadA,rblora,35,2.12573398673038
spreadA,flora,35,0.13760360194740753
spreadA,rblora,36,2.125521147709091
spreadA,flora,36,0.13755460868952962
spreadA,rblora,37,2.1246030110939502
spreadA,flora,37,0.1374922910761111
spreadA,rblora,38,2.125030388168438
spreadA,flora,38,0.1374851996255967
spreadA,rblora,39,2.124402164134628
spreadA,flora,39,0.13742445763970546
spreadA,rblora,40,2.1244200810530858
spreadA,flora,40,0.1373709713754281
spreadA,rblora,41,2.1246161254118796
spreadA,flora,41,0.1373535934576005
spreadA,rblora,42,2.1245043145067646
spreadA,flora,42,0.13731839376536045
spreadA,rblora,43,2.124181052269563
spreadA,flora,43,0.1372989679786399
spreadA,rblora,44,2.1236197592557304
spreadA,flora,44,0.13721282351978834
spreadA,rblora,45,2.123761363492368
spreadA,flora,45,0.13718799513080124
spreadA,rblora,46,2.1233234664075584
spreadA,flora,46,0.1371661748043451
spreadA,rblora,47,2.123214824760121
spreadA,flora,47,0.13714444384229796
spreadA,rblora,48,2.12306046407184
spreadA,flora,48,0.1371254440826595
spreadA,rblora,49,2.122639688867895
spreadA,flora,49,0.1370722938707992
spreadA,rblora,50,2.1214110822791867
spreadA,flora,50,0.13700105562433265
spreadA,rblora,51,2.12194962829359
spreadA,flora,51,0.1370010065421239
spreadA,rblora,52,2.121473483932645
spreadA,flora,52,0.13697602562440922
spreadA,rblora,53,2.1201992892475237
spreadA,flora,53,0.13688738739773887
spreadA,rblora,54,2.1201471183519014
spreadA,flora,54,0.13683864545225946
spreadA,rblora,55,2.120029975040025
spreadA,flora,55,0.1368358927131292
spreadA,rblora,56,2.1192586882085656
spreadA,flora,56,0.13677625957393894
spreadA,rblora,57,2.119554222635419
spreadA,flora,57,0.1367769945840233
spreadA,rblora,58,2.1189283407531905
spreadA,flora,58,0.13670500085494877
spreadA,rblora,59,2.1182553213463895
spreadA,flora,59,0.13666681163895195
spreadA,rblora,60,2.1179682713013057
spreadA,flora,60,0.13663711471130793
spreadA,rblora,61,2.1187844306584007
spreadA,flora,61,0.13666469335726297
spreadA,rblora,62,2.1184305485236528
spreadA,flora,62,0.1366318431803637
spreadA,rblora,63,2.1179302541905414
spreadA,flora,63,0.13659825528700567
spreadA,rblora,64,2.117405074564508
spreadA,flora,64,0.1365750073164381
spreadA,rblora,65,2.1171470656705482
spreadA,flora,65,0.13655293902052526
spreadA,rblora,66,2.116847898178092
spreadA,flora,66,0.13652140989550857
spreadA,rblora,67,2.1162873054269267
spreadA,flora,67,0.13649882309338093
spreadA,rblora,68,2.1161870341336892
spreadA,flora,68,0.13647510876560373
spreadA,rblora,69,2.1157731620797198
spreadA,flora,69,0.13646216675641412
spreadA,rblora,70,2.1156669878731686
spreadA,flora,70,0.13647281277477374
spreadA,rblora,71,2.1150626158674393
spreadA,flora,71,0.13640993104308882
spreadA,rblora,72,2.1145348460643976
spreadA,flora,72,0.13638220298574857
spreadA,rblora,73,2.1150164020147444
spreadA,flora,73,0.13636852139143552
spreadA,rblora,74,2.115372628758223
spreadA,flora,74,0.13638879791986186
spreadA,rblora,75,2.1155351360459167
spreadA,flora,75,0.13638380796702423
spreadA,rblora,76,2.1156174276973756
spreadA,flora,76,0.13637585642616526
spreadA,rblora,77,2.116075948473165
spreadA,flora,77,0.1363758285999185
spreadA,rblora,78,2.115692639750438
spreadA,flora,78,0.13634713644377078
spreadA,rblora,79,2.1155087843231724
spreadA,flora,79,0.13631801533494534
spreadA,rblora,80,2.1150684403492135
spreadA,flora,80,0.136281604574806
spreadA,rblora,81,2.1146617523955222
spreadA,flora,81,0.13625109047708792
spreadA,rblora,82,2.1147750919984536
spreadA,flora,82,0.1362350081845932
spreadA,rblora,83,2.114157198207758
